global_index,verb,row_in_verb,Number of hit,Text ID,Concordance line,Tagged concordance line,URL,Match-begin corpus position,Match-end corpus position,pos_tag,layer
18,agree_on,18,19,ED4,respond &mdash; and listen &mdash; so you can negotiate and agree on a solution . Limit the time spent rowing . If you have,respond_VVI &mdash;_PUN and_CJC listen_VVB &mdash;_PUN so_CJS you_PNP can_VM0 negotiate_VVI and_CJC agree_VVI on_PRP-AVP a_AT0 solution_NN1 ._PUN Limit_VVB the_AT0 time_NN1 spent_VVN rowing_NN1 ._PUN If_CJS you_PNP have_VHB,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=18,45780908,45780911,agree_on_AT0,1
21,agree_on,21,22,J1A,Vol des Zephirs &rsquo; ( Act 5 scene 7 ) agree on a scoring of unison flutes and violins plus continuo ; the piece,Vol_UNC des_UNC Zephirs_UNC &rsquo;_PUQ (_PUL Act_NN1-VVB 5_CRD scene_NN1 7_CRD )_PUR agree_VVB on_PRP-AVP a_AT0 scoring_NN1 of_PRF unison_NN1 flutes_NN2 and_CJC violins_NN2 plus_PRP continuo_NN1 ;_PUN the_AT0 piece_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=21,92543607,92543610,agree_on_AT0,1
44,agree_on,44,45,CDC,3 ) hold a free election ; ( 4 ) agree on the constitution ; and ( 5 ) settle future relationship with Great,3_CRD )_PUR hold_VVB a_AT0 free_AJ0 election_NN1 ;_PUN (_PUL 4_CRD )_PUR agree_VVB on_PRP-AVP the_AT0 constitution_NN1 ;_PUN and_CJC (_PUL 5_CRD )_PUR settle_VVB future_AJ0 relationship_NN1 with_PRP Great_NP0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=44,29997906,29997909,agree_on_AT0,1
48,agree_on,48,49,HLG,"sent a message to the summit calling on delegates to agree on the draft proposals on military issues , to halt troop withdrawal from","sent_VVD a_AT0 message_NN1 to_PRP the_AT0 summit_NN1 calling_VVG on_PRP-AVP delegates_NN2 to_TO0 agree_VVI on_PRP the_AT0 draft_NN1 proposals_NN2 on_PRP military_AJ0 issues_NN2 ,_PUN to_TO0 halt_VVI troop_NN1 withdrawal_NN1 from_PRP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=48,83073019,83073022,agree_on_AT0,1
54,agree_on,54,55,B7L,match . Measurements are &lsquo; objective &rsquo; inasmuch as scientists agree on the thumb to be used as the ruler . Primatologist Emil Megel,match_VVI ._PUN Measurements_NN2 are_VBB &lsquo;_PUQ objective_AJ0 &rsquo;_PUQ inasmuch_UNC as_CJS scientists_NN2 agree_VVB on_PRP-AVP the_AT0 thumb_NN1 to_TO0 be_VBI used_VVN as_PRP the_AT0 ruler_NN1 ._PUN Primatologist_NN1 Emil_NP0 Megel_NP0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=54,20122424,20122427,agree_on_AT0,1
100,agree_with,0,1,K5L,"The majority , 77 per cent , agree or strongly agree with the statement that : &lsquo; A single parent can bring up","The_AT0 majority_NN1 ,_PUN 77_CRD per_UNC cent_UNC ,_PUN agree_VVB or_CJC strongly_AV0 agree_VVB with_PRP the_AT0 statement_NN1 that_CJT :_PUN &lsquo;_PUQ A_AT0 single_AJ0 parent_NN1 can_VM0 bring_VVI up_AVP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=0,103087333,103087335,agree_with_AT0,1
123,agree_with,23,24,HWS,9 m Tc-DTPA and 5 1 Cr-EDTA . Our findings agree with a previous study that showed an increased absorption in active ulcerative,9_CRD m_CRD Tc-DTPA_AJ0-NN1 and_CJC 5_CRD 1_CRD Cr-EDTA_NN1 ._PUN Our_DPS findings_NN2 agree_VVB with_PRP a_AT0 previous_AJ0 study_NN1 that_CJT showed_VVD an_AT0 increased_AJ0 absorption_NN1 in_PRP active_AJ0 ulcerative_AJ0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=23,89719836,89719838,agree_with_AT0,1
139,agree_with,39,40,CH7,West Indians picked for the panel . &lsquo; Ido n't agree with every country just automatically having two umpires named for the panel,West_NP0 Indians_NN2 picked_VVN-VVD for_PRP the_AT0 panel_NN1 ._PUN &lsquo;_PUQ Ido_NP0-NN1 n't_XX0 agree_VVB with_PRP every_AT0 country_NN1 just_AV0 automatically_AV0 having_VHG two_CRD umpires_NN2 named_VVN-VVD for_PRP the_AT0 panel_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=39,34648380,34648382,agree_with_AT0,1
157,agree_with,57,58,FLB,"mean there are No I quite agree , I also agree with the lady who said that one of the important things is","mean_VVB there_EX0 are_VBB No_ITJ I_PNP quite_AV0 agree_VVB ,_PUN I_PNP also_AV0 agree_VVB with_PRP the_AT0 lady_NN1 who_PNQ said_VVD that_CJT-DT0 one_CRD of_PRF the_AT0 important_AJ0 things_NN2 is_VBZ",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=57,55280333,55280335,agree_with_AT0,1
175,agree_with,75,76,EC7,do agree the editor 's decision may not appear to agree with the opinions . It is hard to give an example without,do_VDB agree_VVI the_AT0 editor_NN1 's_POS decision_NN1 may_VM0 not_XX0 appear_VVI to_TO0 agree_VVI with_PRP the_AT0 opinions_NN2 ._PUN It_PNP is_VBZ hard_AJ0 to_TO0 give_VVI an_AT0 example_NN1 without_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=75,44836661,44836663,agree_with_AT0,1
